demand_heat,boiler,heat_pump,import
-0.529,0.529,0.0,-0.0
-0.544,0.544,0.0,-0.0
-0.514,0.514,0.0,-0.0
-0.488,0.488,0.0,-0.0
-0.481,0.481,0.0,-0.0
-2.385,2.385,0.0,-0.0
-0.818,0.818,0.0,-0.0
-42.278,35.0,7.277999999999999,-0.0
-45.511,35.0,10.511000000000003,-0.0
-29.876,29.876,0.0,-0.0
-36.857,35.0,1.8569999999999993,-0.0
-35.838,35.0,0.838000000000001,-0.0
-30.127,30.127,0.0,-0.0
-31.64,31.64,0.0,-0.0
-32.24,32.24,0.0,-0.0
-36.209,35.0,1.2090000000000032,-0.0
-32.258,32.258,0.0,-0.0
-37.736,35.0,2.735999999999997,-0.0
-19.931,19.931,0.0,-0.0
-21.216,21.216,0.0,-0.0
-35.493,35.0,0.4930000000000021,-0.0
-24.542,24.542,0.0,-0.0
-28.03,28.03,0.0,-0.0
-2.618,2.618,0.0,-0.0
-0.491,0.491,0.0,-0.0
-0.481,0.481,0.0,-0.0
-0.481,0.481,0.0,-0.0
-0.481,0.481,0.0,-0.0
-0.481,0.481,0.0,-0.0
-2.164,2.164,0.0,-0.0
-6.603,6.603,0.0,-0.0
-47.571,35.0,12.570999999999998,-0.0
-39.572,35.0,4.572000000000003,-0.0
-30.003,30.003,0.0,-0.0
-24.244,24.244,0.0,-0.0
-41.659,35.0,6.658999999999999,-0.0
-29.542,29.542,0.0,-0.0
-32.147,32.147,0.0,-0.0
-29.534,29.534,0.0,-0.0
-17.274,17.274,0.0,-0.0
-26.72,26.72,0.0,-0.0
-15.748,15.748,0.0,-0.0
-46.623,35.0,11.622999999999998,-0.0
-18.184,18.184,0.0,-0.0
-16.765,16.765,0.0,-0.0
-43.724,35.0,8.723999999999997,-0.0
-29.932,29.932,0.0,-0.0
-1.776,1.776,0.0,-0.0
-0.494,0.494,0.0,-0.0
-0.481,0.481,0.0,-0.0
-0.661,0.661,0.0,-0.0
-0.481,0.481,0.0,-0.0
-0.481,0.481,0.0,-0.0
-1.566,1.566,0.0,-0.0
-3.085,3.085,0.0,-0.0
-44.533,35.0,9.533000000000001,-0.0
-34.13,34.13,0.0,-0.0
-42.632,35.0,7.631999999999998,-0.0
-35.896,35.0,0.8960000000000008,-0.0
-23.341,23.341,0.0,-0.0
-35.555,35.0,0.5549999999999997,-0.0
-18.718,18.718,0.0,-0.0
-20.5,20.5,0.0,-0.0
-16.873,16.873,0.0,-0.0
-22.179,22.179,0.0,-0.0
-27.186,27.186,0.0,-0.0
-27.888,27.888,0.0,-0.0
-36.247,35.0,1.2469999999999999,-0.0
-21.769,21.769,0.0,-0.0
-27.458,27.458,0.0,-0.0
-25.779,25.779,0.0,-0.0
-1.472,1.472,0.0,-0.0
-0.554,0.554,0.0,-0.0
-0.615,0.615,0.0,-0.0
-0.481,0.481,0.0,-0.0
-0.498,0.498,0.0,-0.0
-0.484,0.484,0.0,-0.0
-7.711,7.711,0.0,-0.0
-16.938,16.938,0.0,-0.0
-72.691,35.0,37.691,-0.0
-20.475,20.475,0.0,-0.0
-39.877,35.0,4.8770000000000024,-0.0
-34.0,34.0,0.0,-0.0
-18.992,18.992,0.0,-0.0
-27.241,27.241,0.0,-0.0
-17.805,17.805,0.0,-0.0
-32.999,32.999,0.0,-0.0
-27.914,27.914,0.0,-0.0
-39.236,35.0,4.235999999999997,-0.0
-31.613,31.613,0.0,-0.0
-28.553,28.553,0.0,-0.0
-24.789,24.789,0.0,-0.0
-20.366,20.366,0.0,-0.0
-32.129,32.129,0.0,-0.0
-33.848,33.848,0.0,-0.0
-2.348,2.348,0.0,-0.0
-0.512,0.512,0.0,-0.0
-0.481,0.481,0.0,-0.0
-0.481,0.481,0.0,-0.0
-0.501,0.501,0.0,-0.0
-0.481,0.481,0.0,-0.0
-2.148,2.148,0.0,-0.0
-1.814,1.814,0.0,-0.0
-52.347,35.0,17.347,-0.0
-42.887,35.0,7.8870000000000005,-0.0
-41.399,35.0,6.399000000000001,-0.0
-22.399,22.399,0.0,-0.0
-30.779,30.779,0.0,-0.0
-26.179,26.179,0.0,-0.0
-24.716,24.716,0.0,-0.0
-19.954,19.954,0.0,-0.0
-40.644,35.0,5.643999999999998,-0.0
-37.304,35.0,2.304000000000002,-0.0
-25.912,25.912,0.0,-0.0
-40.089,35.0,5.088999999999999,-0.0
-33.58,33.58,0.0,-0.0
-18.366,18.366,0.0,-0.0
-14.524,14.524,0.0,-0.0
-30.157,30.157,0.0,-0.0
-3.4,3.4,0.0,-0.0
-0.488,0.488,0.0,-0.0
-0.723,0.723,0.0,-0.0
-0.481,0.481,0.0,-0.0
-0.481,0.481,0.0,-0.0
-3.018,3.018,0.0,-0.0
-4.885,4.885,0.0,-0.0
-3.545,3.545,0.0,-0.0
-31.367,31.367,0.0,-0.0
-48.527,35.0,13.527000000000001,-0.0
-31.8,31.8,0.0,-0.0
-31.363,31.363,0.0,-0.0
-19.244,19.244,0.0,-0.0
-33.771,33.771,0.0,-0.0
-27.1,27.1,0.0,-0.0
-31.24,31.24,0.0,-0.0
-28.463,28.463,0.0,-0.0
-27.246,27.246,0.0,-0.0
-38.297,35.0,3.296999999999997,-0.0
-18.384,18.384,0.0,-0.0
-25.648,25.648,0.0,-0.0
-25.649,25.649,0.0,-0.0
-35.865,35.0,0.865000000000002,-0.0
-23.526,23.526,0.0,-0.0
-2.434,2.434,0.0,-0.0
-0.527,0.527,0.0,-0.0
-0.561,0.561,0.0,-0.0
