demand_electricity,pv,heat_pump,import,export_pv
-0.0,0.0,-0.0,0.7541437813160883,0.0
-0.0,0.0,-0.0,0.9181557157484349,0.0
-0.0,0.0,-0.0,0.6514709835135363,0.0
-0.0,0.0,-0.0,0.2083925901089242,0.0
-0.0,0.0,-0.0,0.15388065567567538,0.0
-0.0,0.0,-0.0,0.21515291794741645,0.0
-0.0,0.0,-0.0,0.21552098351421592,0.0
-0.0,0.0,-0.0,0.3502973223427427,0.0
-0.0,0.0,-0.0,0.31993918049990167,0.0
-0.0,0.0,-0.0,0.22558785564266995,0.0
-0.0,0.0,-0.0,0.657602667553677,0.0
-0.0,0.0,-0.0,0.8614518761136252,0.0
-0.0,0.0,-0.0,0.25111114396211437,0.0
-0.0,0.0,-0.0,0.04367535996446772,0.0
-0.0,0.0,-0.0,0.15367295907579182,0.0
-0.0,0.0,-0.0,0.43889586316137874,0.0
-0.0,0.0,-0.0,0.487300447982816,0.0
-0.0,0.0,-0.0,0.8660946446861605,0.0
-0.0,0.0,-0.0,0.8625693769203281,0.0
-0.0,0.0,-0.0,1.474859376919012,0.0
-0.0,0.0,-0.0,1.2238218769198943,0.0
-0.0,0.0,-0.0,0.819961311352381,0.0
-0.0,0.0,-0.0,0.6524051802180474,0.0
-0.0,0.0,-0.0,0.7284490490809549,0.0
-0.0,0.0,-0.0,0.4922709835143905,0.0
-0.0,0.0,-0.0,0.27446625127959123,0.0
-0.0,0.0,-0.0,0.23087958461372185,0.0
-0.0,0.0,-0.0,0.1648806556760974,0.0
-0.0,0.0,-0.0,0.2385329179465771,0.0
-0.0,0.0,-0.0,0.2235062512793957,0.0
-0.0,0.0,-0.0,0.23532098351442982,0.0
-0.0,0.0,-0.0,0.8020334835141998,0.0
-0.0,0.0,-0.0,0.4445929914634768,0.0
-0.0,0.0,-0.0,0.21032830390961768,0.0
-0.0,0.0,-0.0,0.2758958161788757,0.0
-0.0,0.0,-0.0,0.5867791915967605,0.0
-0.0,0.0,-0.0,0.2411533915855085,0.0
-0.0,0.0,-0.0,0.4148301038422173,0.0
-0.0,0.0,-0.0,0.3008520436951745,0.0
-0.0,0.0,-0.0,0.3193422310561081,0.0
-0.0,0.0,-0.0,0.540449912450531,0.0
-0.0,0.0,-0.0,0.9254516391920333,0.0
-0.0,0.0,-0.0,1.6111246747218735,0.0
-0.0,0.0,-0.0,0.9689107758201863,0.0
-0.0,0.0,-0.0,1.148227978018258,0.0
-0.0,0.0,-0.0,1.404565180216652,0.0
-0.0,0.0,-0.0,0.8000709835148881,0.0
-0.0,0.0,-0.0,0.4706529179464997,0.0
-0.0,0.0,-0.0,0.3703881857118904,0.0
-0.0,0.0,-0.0,0.2394781857126509,0.0
-0.0,0.0,-0.0,0.13073119120759658,0.0
-0.0,0.0,-0.0,0.1194778578740079,0.0
-0.0,0.0,-0.0,0.14368259010883774,0.0
-0.0,0.0,-0.0,0.12870452454080805,0.0
-0.0,0.0,-0.0,0.2496223824151093,0.0
-0.0,0.0,-0.0,0.8833446446859221,0.0
-0.0,0.0,-0.0,0.42389046183955387,0.0
-0.0,0.0,-0.0,0.7380384701646557,0.0
-0.0,0.0,-0.0,0.7176675277831925,0.0
-0.0,0.0,-0.0,0.7194465055603729,0.0
-0.0,0.0,-0.0,0.08910184288496731,0.0
-0.0,0.0,-0.0,0.0,0.0
-0.0,0.0,-0.0,0.3264329780794561,0.0
-0.0,0.0,-0.0,1.1364015381558636,0.0
-0.0,0.0,-0.0,0.988597770327142,0.0
-0.0,0.0,-0.0,1.2154419670256174,0.0
-0.0,0.0,-0.0,1.4878366992641896,0.0
-0.0,0.0,-0.0,1.419195835892103,0.0
-0.0,0.0,-0.0,1.2246288413882211,0.0
-0.0,0.0,-0.0,0.8754279780194338,0.0
