demand_electricity,pv,heat_pump,battery,import,export_pv
-2.9161999999996624,0.0,-2.1955,0.0,5.111699999999662,0.0
-2.3518000000003667,0.0,-0.491,0.0,2.842800000000367,0.0
-2.130200000003242,0.0,-0.73175,0.0,2.861950000003242,0.0
-1.8345999999983178,0.0,-0.48175,0.0,2.3163499999983177,0.0
-1.65099999999984,0.0,-0.73175,0.0,2.38274999999984,0.0
-1.1000000000003638,0.0,-0.241,0.0,1.341000000000364,0.0
-1.0028000000020256,0.0,-6.25,0.0,7.2528000000020265,0.0
-1.1656000000002678,0.0,-6.491,0.0,7.656600000000267,0.0
-2.296599999996033,0.2545793775,-5.73175,0.0,7.773770622496033,0.0
-1.815999999998894,1.5344933337499997,-5.23175,0.0,5.513256666248894,0.0
-1.5542000000004919,1.2102849737499999,-7.58625,0.0,7.930165026250493,0.0
-2.4126000000014756,0.9487008949999999,-4.659,0.0,6.122899105001475,0.0
-4.61279999999897,6.05045238375,-7.13175,0.0,5.69409761624897,0.0
-6.58100000000195,4.969130196249999,-4.7045,0.0,6.316369803751951,0.0
-5.552799999999479,1.2150962075,-7.15,0.0,11.48770379249948,0.0
-3.8214000000043598,0.156196765,-6.9,0.0,10.565203235004361,0.0
-4.752999999993335,0.0,-7.12275,0.0,11.875749999993335,0.0
-3.966199999998935,0.0,-4.991,0.0,8.957199999998934,0.0
-4.698800000003757,0.0,-6.5955,0.0,11.294300000003759,0.0
-5.431399999997666,0.0,-6.91825,0.0,12.349649999997666,0.0
-4.864600000002611,0.0,-4.66825,0.0,9.532850000002611,0.0
-4.60399999999936,0.0,-6.4545,0.0,11.05849999999936,0.0
-3.397800000002462,0.0,-2.97275,0.0,6.370550000002462,0.0
-2.732399999997142,0.0,-1.48175,0.0,4.214149999997142,0.0
-1.90139999999883,0.0,-1.46375,0.0,3.36514999999883,0.0
-1.4976000000006024,0.0,-0.97275,0.0,2.4703500000006025,0.0
-1.7765999999992346,0.0,-0.241,0.0,2.0175999999992347,0.0
-2.1335999999992055,0.0,-0.0,0.0,2.1335999999992055,0.0
-0.9412000000011176,0.0,-0.0,0.0,0.9412000000011177,0.0
-0.9330000000027212,0.0,-0.0,0.0,0.9330000000027212,0.0
-0.9697999999953026,0.0,-7.491,0.0,8.460799999995302,0.0
-1.2026000000023487,0.0,-5.75,0.0,6.952600000002349,0.0
-1.4422000000031403,0.29314993375,-5.7045,0.0,6.85355006625314,0.0
-1.7011999999976979,1.8699016549999998,-7.63175,0.0,7.463048344997699,0.0
-2.0499999999974534,2.02361248875,-4.2045,0.0,4.230887511247454,0.0
-1.7224000000005617,2.5820901987499996,-5.1955,0.0,4.335809801250562,0.0
-5.3608000000022,4.544472725,-9.38175,0.0,10.1980772750022,0.0
-5.732399999997142,1.7166201774999996,-7.5955,0.0,11.611279822497142,0.0
